Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Trent Boult,Shikhar Dhawan,Jonny Bairstow,3,0,,,,,3,0
1,0,2,Trent Boult,Jonny Bairstow,Shikhar Dhawan,3,0,,,,,6,0
1,0,3,Trent Boult,Shikhar Dhawan,Jonny Bairstow,1,0,,,,,7,0
1,0,4,Trent Boult,Jonny Bairstow,Shikhar Dhawan,0,0,,lbw,Jonny Bairstow,Sanju Samson,7,1
1,0,5,Trent Boult,Liam Livingstone,Shikhar Dhawan,0,0,,caught,Liam Livingstone,Vaibhav Sooryavanshi,7,2
1,0,6,Trent Boult,Sam Curran,Shikhar Dhawan,0,0,,,,,7,2
1,1,1,Sandeep Sharma,Shikhar Dhawan,Sam Curran,0,0,,,,,7,2
1,1,2,Sandeep Sharma,Shikhar Dhawan,Sam Curran,2,0,,,,,9,2
1,1,3,Sandeep Sharma,Shikhar Dhawan,Sam Curran,2,0,,,,,11,2
1,1,4,Sandeep Sharma,Shikhar Dhawan,Sam Curran,0,0,,,,,11,2
1,1,5,Sandeep Sharma,Shikhar Dhawan,Sam Curran,3,0,,,,,14,2
1,1,6,Sandeep Sharma,Sam Curran,Shikhar Dhawan,2,0,,,,,16,2
1,2,1,Sandeep Sharma,Shikhar Dhawan,Sam Curran,0,0,,,,,16,2
1,2,2,Sandeep Sharma,Shikhar Dhawan,Sam Curran,4,0,,,,,20,2
1,2,3,Sandeep Sharma,Shikhar Dhawan,Sam Curran,2,0,,,,,22,2
1,2,4,Sandeep Sharma,Shikhar Dhawan,Sam Curran,0,0,,,,,22,2
1,2,5,Sandeep Sharma,Shikhar Dhawan,Sam Curran,2,0,,,,,24,2
1,2,6,Sandeep Sharma,Shikhar Dhawan,Sam Curran,0,0,,,,,24,2
1,3,1,Avesh Khan,Sam Curran,Shikhar Dhawan,2,0,,,,,26,2
1,3,2,Avesh Khan,Sam Curran,Shikhar Dhawan,2,0,,,,,28,2
1,3,3,Avesh Khan,Sam Curran,Shikhar Dhawan,0,0,,,,,28,2
1,3,4,Avesh Khan,Sam Curran,Shikhar Dhawan,2,0,,,,,30,2
1,3,5,Avesh Khan,Sam Curran,Shikhar Dhawan,2,0,,,,,32,2
1,3,6,Avesh Khan,Sam Curran,Shikhar Dhawan,0,0,,,,,32,2
1,4,1,Avesh Khan,Shikhar Dhawan,Sam Curran,0,0,,,,,32,2
1,4,2,Avesh Khan,Shikhar Dhawan,Sam Curran,3,0,,,,,35,2
1,4,3,Avesh Khan,Sam Curran,Shikhar Dhawan,1,0,,,,,36,2
1,4,4,Avesh Khan,Shikhar Dhawan,Sam Curran,1,0,,,,,37,2
1,4,5,Avesh Khan,Sam Curran,Shikhar Dhawan,4,0,,,,,41,2
1,4,6,Avesh Khan,Sam Curran,Shikhar Dhawan,3,0,,,,,44,2
1,5,1,Trent Boult,Sam Curran,Shikhar Dhawan,6,0,,,,,50,2
1,5,2,Trent Boult,Sam Curran,Shikhar Dhawan,1,0,,,,,51,2
1,5,3,Trent Boult,Shikhar Dhawan,Sam Curran,0,0,,,,,51,2
1,5,4,Trent Boult,Shikhar Dhawan,Sam Curran,0,0,,stumped,Shikhar Dhawan,Shimron Hetmyer,51,3
1,5,5,Trent Boult,Shashank Singh,Sam Curran,1,0,,,,,52,3
1,5,6,Trent Boult,Sam Curran,Shashank Singh,1,0,,,,,53,3
1,6,1,Yuzvendra Chahal,Sam Curran,Shashank Singh,0,0,,,,,53,3
1,6,2,Yuzvendra Chahal,Sam Curran,Shashank Singh,0,0,,,,,53,3
1,6,3,Yuzvendra Chahal,Sam Curran,Shashank Singh,6,0,,,,,59,3
1,6,4,Yuzvendra Chahal,Sam Curran,Shashank Singh,2,0,,,,,61,3
1,6,5,Yuzvendra Chahal,Sam Curran,Shashank Singh,6,0,,,,,67,3
1,6,6,Yuzvendra Chahal,Sam Curran,Shashank Singh,3,0,,,,,70,3
1,7,1,Sandeep Sharma,Sam Curran,Shashank Singh,0,0,,,,,70,3
1,7,2,Sandeep Sharma,Sam Curran,Shashank Singh,1,0,,,,,71,3
1,7,3,Sandeep Sharma,Shashank Singh,Sam Curran,0,0,,bowled,Shashank Singh,Vaibhav Sooryavanshi,71,4
1,7,4,Sandeep Sharma,Ashutosh Sharma,Sam Curran,4,0,,,,,75,4
1,7,5,Sandeep Sharma,Ashutosh Sharma,Sam Curran,1,0,,,,,76,4
