Innings,Over,Ball,Bowler,Batter,Non-Striker,Runs_Off_Bat,Extras,Extra_Type,Wicket_Type,Player_Dismissed,Fielder,Total_Team_Runs,Wickets_Lost
1,0,1,Romario Shepherd,Travis Head,Abhishek Sharma,2,0,,,,,2,0
1,0,2,Romario Shepherd,Travis Head,Abhishek Sharma,0,0,,,,,2,0
1,0,3,Romario Shepherd,Travis Head,Abhishek Sharma,0,0,,,,,2,0
1,0,4,Romario Shepherd,Travis Head,Abhishek Sharma,0,0,,,,,2,0
1,0,5,Romario Shepherd,Travis Head,Abhishek Sharma,0,0,,lbw,Travis Head,Tilak Varma,2,1
1,0,6,Romario Shepherd,Heinrich Klaasen,Abhishek Sharma,1,0,,,,,3,1
1,1,1,Jasprit Bumrah,Heinrich Klaasen,Abhishek Sharma,0,0,,,,,3,1
1,1,2,Jasprit Bumrah,Heinrich Klaasen,Abhishek Sharma,0,1,wide,,,,4,1
1,1,2,Jasprit Bumrah,Heinrich Klaasen,Abhishek Sharma,4,0,,,,,8,1
1,1,3,Jasprit Bumrah,Heinrich Klaasen,Abhishek Sharma,1,0,,,,,9,1
1,1,4,Jasprit Bumrah,Abhishek Sharma,Heinrich Klaasen,2,0,,,,,11,1
1,1,5,Jasprit Bumrah,Abhishek Sharma,Heinrich Klaasen,4,0,,,,,15,1
1,1,6,Jasprit Bumrah,Abhishek Sharma,Heinrich Klaasen,2,0,,,,,17,1
1,2,1,Piyush Chawla,Heinrich Klaasen,Abhishek Sharma,6,0,,,,,23,1
1,2,2,Piyush Chawla,Heinrich Klaasen,Abhishek Sharma,0,0,,run out,Heinrich Klaasen,Rohit Sharma,23,2
1,2,3,Piyush Chawla,Nitish Reddy,Abhishek Sharma,0,0,,,,,23,2
1,2,4,Piyush Chawla,Nitish Reddy,Abhishek Sharma,0,0,,lbw,Nitish Reddy,Romario Shepherd,23,3
1,2,5,Piyush Chawla,Abdul Samad,Abhishek Sharma,4,0,,,,,27,3
1,2,6,Piyush Chawla,Abdul Samad,Abhishek Sharma,3,0,,,,,30,3
1,3,1,Hardik Pandya,Abdul Samad,Abhishek Sharma,1,0,,,,,31,3
1,3,2,Hardik Pandya,Abhishek Sharma,Abdul Samad,1,0,,,,,32,3
